none,Teacher,Class,Reviewer,Date,Difficulty,Test,Report,Attendance,Comments
,グッチェフランク,英語c2,,2019年10月01日,ど仏,,時々あり,あり,神の一言です
,佐藤雪野,展開ドイツ語,,2019年10月01日,ど仏,,あり,あり,ドイツ語の文章を読んで訳すのが中心。やってきた課題を授業中にホワイトボードに書くことがあるができなくても大丈夫。出席して自由提出のレポート出したらテストほぼ和訳の問題しかできなかったけどAAもらえた。
,ビクトルナガヌマ,スペイン語,,2019年10月01日,ど鬼,,あり,なし,授業はわかりずらいくせにテストは難しいしまいには過去問を印刷してきた女子生徒に手をあげ肩パンする始末、そして泣き喚きながらお説教し始めやがってだるすぎ体臭も相当臭く、行動は誰から見てもセクハラしまくる変態教師
,堀田,,,2019年09月30日,,,,,
,線形代数A,原田,,2019年09月30日,並,,,,授業最後のテストが1/3であとは期末で成績がつく授業最後のテストは授業をちゃんと聞いて、計算ミスしないようにすれば大丈夫　期末は過去問を配ってくれるのだが、難しい。　計算というよりは定理とかを理解していないと解けない問題が多い
,橋本,化学A,,2019年09月30日,仏,,,,テストは授業でやったことメインだし、宿題でやったところ確認して過去レポが手に入ればA以上は確定
,佐藤智子,学習理論入門,,2019年09月30日,鬼,,あり,あり,教育学について学んでいく授業。かなり負荷が高い。昨年度までは並評価だったそうだが、方向転換されたのだろうか。ディスカッション形式の授業で、毎週20ページほどの文献を読んでくる宿題が出される。また、合計2000文字程度のレポートが計4回、そして1500文字程度のリフレクションレポートが出される。レポートの形式・調べ方などを身に着けられる授業ではあるものの、余裕のある人向けである。特に悪名高き自然科学総合実験が同セメスターにある方々は避けるべきだろう。
,思想と倫理の世界,佐藤透,,2019年09月30日,並,,,時々あり,先生に直接言う勇気も教務に顔出しで告発する勇気もないのでここで言うけど、春学期の試験で集団カンニングがあった。（自分が聞いたのは試験に向けてLINEグループを作った、ってところまでで、怖気付いてカンニングしてない可能性もあるが、人数が人数なので、誰かしらやったものだと思ってる）単位落とすことは早々ないけれど、評価は少し厳しめ？出席なし。内職はお目こぼしもらえます。私語は厳禁。
,中尾 光之,計算機学,,2019年09月30日,並,,時々あり,あり,内容が個人的には難しかった。ただテストは演習の類題が多くを占めていたので証明とかを躍起になって理解する必要はないかもしれない。過去問ゲットできたらほとんど勝ち
,西山 大樹,電磁気学基礎論,,2019年09月30日,やや鬼,,あり,あり,とにかくテストが多い。毎回の小テストに4回に一回のレポはかなり重め。だけど内容は例題と一緒なので勉強すりゃ点は取れる。期末も同様
,宮本 浩一郎,電気回路学基礎演習,,2019年09月30日,ど仏,,なし,あり,中間テスト一応あるけど演習プリントと全く同じ問題。そしてその問題も複素数とか抵抗とかの簡単な計算。成績はほぼ出席で決まると言っていい
,白井 正文,物理学B,,2019年09月30日,仏,,時々あり,あり,出席は回ってくる名簿に名前を書く方式なので代返は可能。時々出るレポートは教科書の例題と同じ問題でそれを自分の言葉で書けばいいだけ。期末テストは演習問題とかから出すと言われたが計算より式の導出や証明系が多めだった印象
,藤本敏彦,スポーツA,,2019年09月30日,ど鬼,,時々あり,なし,授業フル出席で落単は草すぎる。旧帝大の体育なめてました。リアルな話、東北大学受かるより難しい
,原田,生物化学,,2019年09月30日,仏,,なし,なし,救済メール送ったらテスト20パーセントでも浮きました必修だったんでほんとありがとうございます
,大隈 典子 他,ジェンダーと人間社会,,2019年09月30日,仏,,なし,あり,講義名の通り、様々な角度からジェンダー論を取り上げる。毎回講師が変わるのも特徴。殆どの講師は過激なフェミニストで、極左的な発言も散見される。
,佐藤智子,学習理論入門,,2019年09月30日,ど鬼,,あり,あり,グループディスカッション型の授業。出席は欠席で減点、授業内のプリントワークを提出してやっと出席点が得られる。毎授業、課題文献や教育理論に関する論文を読んで書く宿題と、2000字程度の教育に関するレポートを4つ、1500字程度のリフレクションレポートを提出する。文系理系問わずこの上ない苦しみである。人間論、社会論に擬態しているので注意が必要。しかしレポートを書く力がつくことは保証できる。（履修しろとは言ってない）
,関根,自然科学総合実験,,2019年09月30日,鬼,,あり,あり,レポ2つ未提出、３週遅れ1つ、2週遅れ1つ、1周遅れ3つ、評価の平均が3.5くらいでC評価のいい過去レポを写すといい評価をもらいやすいようです
